GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,IND,Indiana Pacers,Aaron Nesmith,25.0,1.0,0.0,4.0,7,10,70.0,3,4,75.0,8,8,100.0,85.0,92.5,26,0,0,1,0,0,0,0,25.0,25.0,75.0,75.0
2025-11-08,PHI,Philadelphia 76ers,Adem Bona,0.0,2.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,WSH,Washington Wizards,Alex Sarr,17.0,6.0,5.0,2.0,6,16,37.5,0,3,0.0,5,6,83.3,37.5,45.6,31,0,0,0,0,1,0,1,17.0,17.0,0.0,0.0
2025-11-08,PHI,Philadelphia 76ers,Andre Drummond,4.0,8.0,1.0,0.0,1,5,20.0,0,0,0.0,2,2,100.0,20.0,34.0,16,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-08,IND,Indiana Pacers,Andrew Nembhard,22.0,0.0,6.0,0.0,7,20,35.0,2,10,20.0,6,6,100.0,40.0,48.6,33,0,0,1,0,1,0,0,22.0,22.0,20.0,20.0
2025-11-08,MIA,Miami Heat,Andrew Wiggins,15.0,3.0,1.0,2.0,5,14,35.7,2,8,25.0,3,4,75.0,42.9,47.6,33,0,0,0,0,0,0,1,15.0,15.0,25.0,25.0
2025-11-08,ATL,Atlanta Hawks,Asa Newell,17.0,5.0,0.0,4.0,7,12,58.3,2,5,40.0,1,1,100.0,66.7,68.3,27,0,0,0,0,0,0,0,17.0,17.0,40.0,40.0
2025-11-08,CHI,Chicago Bulls,Ayo Dosunmu,14.0,3.0,1.0,0.0,5,11,45.5,1,2,50.0,3,3,100.0,50.0,56.8,23,0,0,1,0,0,0,0,14.0,14.0,50.0,50.0
2025-11-08,IND,Indiana Pacers,Ben Sheppard,5.0,2.0,0.0,0.0,2,8,25.0,1,5,20.0,0,0,0.0,31.2,31.2,23,0,0,0,0,0,0,0,5.0,5.0,20.0,20.0
2025-11-08,LAC,LA Clippers,Bradley Beal,12.0,0.0,3.0,1.0,4,9,44.4,2,4,50.0,2,2,100.0,55.6,60.7,20,0,0,1,0,1,0,0,12.0,12.0,50.0,50.0
2025-11-08,TOR,Toronto Raptors,Brandon Ingram,21.0,8.0,5.0,0.0,7,17,41.2,0,3,0.0,7,7,100.0,41.2,52.3,37,0,0,1,1,1,0,0,21.0,21.0,0.0,0.0
2025-11-08,DAL,Dallas Mavericks,Brandon Williams,14.0,2.0,6.0,4.0,6,16,37.5,1,4,25.0,1,2,50.0,40.6,41.5,26,0,0,0,0,0,0,0,14.0,14.0,25.0,25.0
2025-11-08,LAL,Los Angeles Lakers,Bronny James,9.0,2.0,2.0,1.0,4,6,66.7,1,2,50.0,0,0,0.0,75.0,75.0,18,0,0,0,0,0,0,0,9.0,9.0,50.0,50.0
2025-11-08,LAC,LA Clippers,Brook Lopez,8.0,0.0,0.0,0.0,4,5,80.0,0,1,0.0,0,0,0.0,80.0,80.0,13,0,0,1,0,0,0,0,8.0,8.0,0.0,0.0
