PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,REB,AST,FG3M,MIN,ARENA,CITY,STATE,GAME_DATE
Brandon Miller,CHA,Charlotte Hornets,Home,14.5,0.0,4.0,1.0,19.9,Spectrum Center,Charlotte,NC,2025-11-10
Collin Sexton,CHA,Charlotte Hornets,Home,16.1,2.3,5.3,1.5,26.4,Spectrum Center,Charlotte,NC,2025-11-10
KJ Simpson,CHA,Charlotte Hornets,Home,5.0,2.7,2.3,0.7,14.2,Spectrum Center,Charlotte,NC,2025-11-10
Kon Knueppel,CHA,Charlotte Hornets,Home,16.4,6.0,2.3,3.3,31.5,Spectrum Center,Charlotte,NC,2025-11-10
LaMelo Ball,CHA,Charlotte Hornets,Home,23.3,7.8,9.8,3.3,33.3,Spectrum Center,Charlotte,NC,2025-11-10
Liam McNeeley,CHA,Charlotte Hornets,Home,3.6,1.9,1.3,0.6,11.8,Spectrum Center,Charlotte,NC,2025-11-10
Mason Plumlee,CHA,Charlotte Hornets,Home,0.7,1.0,0.3,0.0,3.8,Spectrum Center,Charlotte,NC,2025-11-10
Miles Bridges,CHA,Charlotte Hornets,Home,20.7,7.2,3.9,2.8,34.4,Spectrum Center,Charlotte,NC,2025-11-10
Moussa Diabaté,CHA,Charlotte Hornets,Home,10.3,7.3,0.6,0.0,20.1,Spectrum Center,Charlotte,NC,2025-11-10
Pat Connaughton,CHA,Charlotte Hornets,Home,3.8,1.4,0.4,0.6,7.9,Spectrum Center,Charlotte,NC,2025-11-10
Ryan Kalkbrenner,CHA,Charlotte Hornets,Home,9.2,6.9,0.6,0.0,27.4,Spectrum Center,Charlotte,NC,2025-11-10
Sion James,CHA,Charlotte Hornets,Home,8.9,3.0,1.4,1.7,25.2,Spectrum Center,Charlotte,NC,2025-11-10
Tidjane Salaün,CHA,Charlotte Hornets,Home,3.1,3.6,0.7,0.6,11.9,Spectrum Center,Charlotte,NC,2025-11-10
Tre Mann,CHA,Charlotte Hornets,Home,11.1,3.4,3.0,1.6,22.4,Spectrum Center,Charlotte,NC,2025-11-10
Austin Reaves,LAL,Los Angeles Lakers,Away,31.1,5.1,9.3,3.0,37.8,Spectrum Center,Charlotte,NC,2025-11-10
Bronny James,LAL,Los Angeles Lakers,Away,2.6,1.0,1.9,0.3,12.7,Spectrum Center,Charlotte,NC,2025-11-10
