GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,STL,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL
2025-10-28,MIL,Milwaukee Bucks,AJ Green,9.0,4.0,0.0,3,5,60.0,3,5,60.0,0,0,0.0,90.0,90.0,24,0,0,90.0,90.0,90.0,90.0,9.0,9.0,60.0,60.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Aaron Wiggins,18.0,6.0,6.0,7,15,46.7,4,10,40.0,0,0,0.0,60.0,60.0,34,0,1,60.0,60.0,60.0,60.0,18.0,18.0,40.0,40.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Adem Bona,2.0,5.0,0.0,1,3,33.3,0,0,0.0,0,0,0.0,33.3,33.3,18,0,0,33.3,33.3,33.3,33.3,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Ajay Mitchell,18.0,0.0,1.0,7,15,46.7,3,7,42.9,1,1,100.0,56.7,58.3,24,0,0,56.7,56.7,58.3,58.3,18.0,18.0,42.9,42.9,,,,,,
2025-10-28,GS,Golden State Warriors,Al Horford,2.0,4.0,0.0,1,5,20.0,0,3,0.0,0,0,0.0,20.0,20.0,21,0,0,20.0,20.0,20.0,20.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Alex Caruso,8.0,2.0,3.0,2,5,40.0,2,5,40.0,2,2,100.0,60.0,68.0,24,0,0,60.0,60.0,68.0,68.0,8.0,8.0,40.0,40.0,,,,,,
2025-10-28,WSH,Washington Wizards,Alex Sarr,31.0,11.0,5.0,13,23,56.5,3,7,42.9,2,2,100.0,63.0,64.9,34,1,0,63.0,63.0,64.9,64.9,31.0,31.0,42.9,42.9,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Amir Coffey,8.0,2.0,0.0,2,3,66.7,1,2,50.0,3,3,100.0,83.3,92.6,15,0,0,83.3,83.3,92.6,92.6,8.0,8.0,50.0,50.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Andre Drummond,6.0,10.0,0.0,3,4,75.0,0,0,0.0,0,0,0.0,75.0,75.0,12,0,0,75.0,75.0,75.0,75.0,6.0,6.0,0.0,0.0,,,,,,
2025-10-28,MIA,Miami Heat,Andrew Wiggins,21.0,2.0,2.0,8,15,53.3,3,6,50.0,2,2,100.0,63.3,66.1,30,0,0,63.3,63.3,66.1,66.1,21.0,21.0,50.0,50.0,,,,,,
2025-10-28,NY,New York Knicks,Ariel Hukporti,0.0,3.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,MIA,Miami Heat,Bam Adebayo,26.0,6.0,2.0,10,16,62.5,3,5,60.0,3,4,75.0,71.9,73.2,30,0,0,71.9,71.9,73.2,73.2,26.0,26.0,60.0,60.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Bobby Portis,9.0,2.0,0.0,4,10,40.0,1,4,25.0,0,0,0.0,45.0,45.0,16,0,0,45.0,45.0,45.0,45.0,9.0,9.0,25.0,25.0,,,,,,
2025-10-28,LAC,LA Clippers,Bogdan Bogdanovic,2.0,1.0,0.0,1,5,20.0,0,3,0.0,0,0,0.0,20.0,20.0,9,0,0,20.0,20.0,20.0,20.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Branden Carlson,2.0,1.0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,100.0,100.0,4,0,0,100.0,100.0,100.0,100.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Brandin Podziemski,12.0,5.0,4.0,5,10,50.0,2,6,33.3,0,0,0.0,60.0,60.0,27,0,0,60.0,60.0,60.0,60.0,12.0,12.0,33.3,33.3,,,,,,
2025-10-28,LAC,LA Clippers,Brook Lopez,3.0,2.0,1.0,1,6,16.7,0,4,0.0,1,2,50.0,16.7,21.8,19,0,0,16.7,16.7,21.8,21.8,3.0,3.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Brooks Barnhizer,2.0,1.0,0.0,1,3,33.3,0,0,0.0,0,0,0.0,33.3,33.3,7,0,0,33.3,33.3,33.3,33.3,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,WSH,Washington Wizards,Bub Carrington,10.0,5.0,5.0,3,6,50.0,2,3,66.7,2,2,100.0,66.7,72.7,38,0,0,66.7,66.7,72.7,72.7,10.0,10.0,66.7,66.7,,,,,,
2025-10-28,GS,Golden State Warriors,Buddy Hield,2.0,3.0,0.0,1,2,50.0,0,1,0.0,0,0,0.0,50.0,50.0,10,0,0,50.0,50.0,50.0,50.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,WSH,Washington Wizards,CJ McCollum,14.0,1.0,7.0,4,14,28.6,2,6,33.3,4,4,100.0,35.7,44.4,40,0,0,35.7,35.7,44.4,44.4,14.0,14.0,33.3,33.3,,,,,,
2025-10-28,LAC,LA Clippers,Cam Christie,4.0,0.0,0.0,1,2,50.0,1,2,50.0,1,2,50.0,75.0,69.4,6,0,0,75.0,75.0,69.4,69.4,4.0,4.0,50.0,50.0,,,,,,
2025-10-28,WSH,Washington Wizards,Cam Whitmore,9.0,0.0,0.0,4,7,57.1,1,2,50.0,0,0,0.0,64.3,64.3,13,0,0,64.3,64.3,64.3,64.3,9.0,9.0,50.0,50.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Cason Wallace,8.0,1.0,3.0,3,9,33.3,2,5,40.0,0,0,0.0,44.4,44.4,27,0,0,44.4,44.4,44.4,44.4,8.0,8.0,40.0,40.0,,,,,,
