PLAYER,POSITION,POS_PG,POS_SG,POS_SF,POS_PF,POS_C,POS_WING,POS_BIG
Nickeil Alexander-Walker,SG,0,1,0,0,0,1,0
Dyson Daniels,SG,0,1,0,0,0,1,0
N'Faly Dante,C,0,0,0,0,1,0,1
Nikola Durisic,SF,0,0,1,0,0,1,0
Mouhamed Gueye,SF,0,0,1,0,0,1,0
Caleb Houstan,SG,0,1,0,0,0,1,0
Jalen Johnson,SF,0,0,1,0,0,1,0
Luke Kennard,SG,0,1,0,0,0,1,0
Vit Krejci,SG,0,1,0,0,0,1,0
Eli John N'Diaye,C,0,0,0,0,1,0,1
Asa Newell,SF,0,0,1,0,0,1,0
Onyeka Okongwu,SF,0,0,1,0,0,1,0
Kristaps Porzingis,C,0,0,0,0,1,0,1
Zaccharie Risacher,SF,0,0,1,0,0,1,0
Jacob Toppin,SF,0,0,1,0,0,1,0
Keaton Wallace,SG,0,1,0,0,0,1,0
Trae Young,SG,0,1,0,0,0,1,0
Chris Boucher,SF,0,0,1,0,0,1,0
Jaylen Brown,SG,0,1,0,0,0,1,0
Luka Garza,C,0,0,0,0,1,0,1
Hugo Gonzalez,SG,0,1,0,0,0,1,0
Ron Harper Jr.,SG,0,1,0,0,0,1,0
Sam Hauser,SF,0,0,1,0,0,1,0
Josh Minott,SF,0,0,1,0,0,1,0
Payton Pritchard,SG,0,1,0,0,0,1,0
Neemias Queta,C,0,0,0,0,1,0,1
Baylor Scheierman,SG,0,1,0,0,0,1,0
Max Shulga,SG,0,1,0,0,0,1,0
Anfernee Simons,SG,0,1,0,0,0,1,0
Jayson Tatum,SF,0,0,1,0,0,1,0
Xavier Tillman,SF,0,0,1,0,0,1,0
Jordan Walsh,SG,0,1,0,0,0,1,0
Derrick White,SG,0,1,0,0,0,1,0
Amari Williams,SF,0,0,1,0,0,1,0
Nic Claxton,C,0,0,0,0,1,0,1
Noah Clowney,SF,0,0,1,0,0,1,0
Egor Demin,SG,0,1,0,0,0,1,0
Tyson Etienne,SG,0,1,0,0,0,1,0
Haywood Highsmith,SF,0,0,1,0,0,1,0
E.J. Liddell,SF,0,0,1,0,0,1,0
Terance Mann,SG,0,1,0,0,0,1,0
Tyrese Martin,SG,0,1,0,0,0,1,0
Michael Porter Jr.,SF,0,0,1,0,0,1,0
Drake Powell,SG,0,1,0,0,0,1,0
Ben Saraf,SG,0,1,0,0,0,1,0
Day'Ron Sharpe,C,0,0,0,0,1,0,1
Cam Thomas,SG,0,1,0,0,0,1,0
Nolan Traore,SG,0,1,0,0,0,1,0
Ziaire Williams,SF,0,0,1,0,0,1,0
Jalen Wilson,SF,0,0,1,0,0,1,0
Danny Wolf,SF,0,0,1,0,0,1,0
LaMelo Ball,SG,0,1,0,0,0,1,0
Miles Bridges,SF,0,0,1,0,0,1,0
Pat Connaughton,SG,0,1,0,0,0,1,0
Moussa Diabate,SF,0,0,1,0,0,1,0
Josh Green,SG,0,1,0,0,0,1,0
Sion James,SG,0,1,0,0,0,1,0
Ryan Kalkbrenner,C,0,0,0,0,1,0,1
Kon Knueppel,SG,0,1,0,0,0,1,0
Tre Mann,SG,0,1,0,0,0,1,0
Liam McNeeley,SG,0,1,0,0,0,1,0
Brandon Miller,SF,0,0,1,0,0,1,0
Drew Peterson,SF,0,0,1,0,0,1,0
Mason Plumlee,C,0,0,0,0,1,0,1
Antonio Reeves,SG,0,1,0,0,0,1,0
Tidjane Salaun,SF,0,0,1,0,0,1,0
Collin Sexton,SG,0,1,0,0,0,1,0
KJ Simpson,SG,0,1,0,0,0,1,0
Grant Williams,SF,0,0,1,0,0,1,0
Matas Buzelis,SF,0,0,1,0,0,1,0
Jevon Carter,SG,0,1,0,0,0,1,0
Zach Collins,SF,0,0,1,0,0,1,0
Ayo Dosunmu,SG,0,1,0,0,0,1,0
Noa Essengue,SF,0,0,1,0,0,1,0
Trentyn Flowers,SF,0,0,1,0,0,1,0
Josh Giddey,SG,0,1,0,0,0,1,0
Kevin Huerter,SG,0,1,0,0,0,1,0
Tre Jones,SG,0,1,0,0,0,1,0
Emanuel Miller,SF,0,0,1,0,0,1,0
Isaac Okoro,SF,0,0,1,0,0,1,0
Lachlan Olbrich,C,0,0,0,0,1,0,1
Julian Phillips,SF,0,0,1,0,0,1,0
Jalen Smith,SF,0,0,1,0,0,1,0
Dalen Terry,SF,0,0,1,0,0,1,0
Nikola Vucevic,C,0,0,0,0,1,0,1
Coby White,SG,0,1,0,0,0,1,0
Patrick Williams,SF,0,0,1,0,0,1,0
Jarrett Allen,C,0,0,0,0,1,0,1
Lonzo Ball,SG,0,1,0,0,0,1,0
Thomas Bryant,C,0,0,0,0,1,0,1
Darius Garland,SG,0,1,0,0,0,1,0
De'Andre Hunter,SF,0,0,1,0,0,1,0
Sam Merrill,SG,0,1,0,0,0,1,0
Donovan Mitchell,SG,0,1,0,0,0,1,0
Evan Mobley,C,0,0,0,0,1,0,1
Larry Nance Jr.,SF,0,0,1,0,0,1,0
Craig Porter Jr.,SG,0,1,0,0,0,1,0
Tyrese Proctor,SG,0,1,0,0,0,1,0
Max Strus,SG,0,1,0,0,0,1,0
Nae'Qwan Tomlin,SF,0,0,1,0,0,1,0
Luke Travers,SF,0,0,1,0,0,1,0
Jaylon Tyson,SG,0,1,0,0,0,1,0
Dean Wade,SF,0,0,1,0,0,1,0
Max Christie,SG,0,1,0,0,0,1,0
Moussa Cisse,C,0,0,0,0,1,0,1
Anthony Davis,SF,0,0,1,0,0,1,0
Dante Exum,SG,0,1,0,0,0,1,0
Cooper Flagg,SF,0,0,1,0,0,1,0
Daniel Gafford,SF,0,0,1,0,0,1,0
Jaden Hardy,SG,0,1,0,0,0,1,0
Kyrie Irving,SG,0,1,0,0,0,1,0
Miles Kelly,SG,0,1,0,0,0,1,0
Dereck Lively II,C,0,0,0,0,1,0,1
Naji Marshall,SF,0,0,1,0,0,1,0
Caleb Martin,SF,0,0,1,0,0,1,0
Ryan Nembhard,SG,0,1,0,0,0,1,0
Dwight Powell,SF,0,0,1,0,0,1,0
D'Angelo Russell,SG,0,1,0,0,0,1,0
Klay Thompson,SG,0,1,0,0,0,1,0
P.J. Washington,SF,0,0,1,0,0,1,0
Brandon Williams,SG,0,1,0,0,0,1,0
Tamar Bates,SG,0,1,0,0,0,1,0
Christian Braun,SG,0,1,0,0,0,1,0
Bruce Brown,SG,0,1,0,0,0,1,0
Aaron Gordon,SF,0,0,1,0,0,1,0
Tim Hardaway Jr.,SG,0,1,0,0,0,1,0
DaRon Holmes II,SF,0,0,1,0,0,1,0
Cameron Johnson,SF,0,0,1,0,0,1,0
Nikola Jokic,C,0,0,0,0,1,0,1
Curtis Jones,SG,0,1,0,0,0,1,0
Spencer Jones,SF,0,0,1,0,0,1,0
Jamal Murray,SG,0,1,0,0,0,1,0
Zeke Nnaji,SF,0,0,1,0,0,1,0
Jalen Pickett,SG,0,1,0,0,0,1,0
Julian Strawther,SG,0,1,0,0,0,1,0
Hunter Tyson,SF,0,0,1,0,0,1,0
Jonas Valanciunas,C,0,0,0,0,1,0,1
Peyton Watson,SG,0,1,0,0,0,1,0
Cade Cunningham,SG,0,1,0,0,0,1,0
Jalen Duren,C,0,0,0,0,1,0,1
Javonte Green,SG,0,1,0,0,0,1,0
Tobias Harris,SF,0,0,1,0,0,1,0
Ronald Holland II,SF,0,0,1,0,0,1,0
Jaden Ivey,SG,0,1,0,0,0,1,0
Daniss Jenkins,SG,0,1,0,0,0,1,0
Colby Jones,SG,0,1,0,0,0,1,0
Bobi Klintman,SF,0,0,1,0,0,1,0
Chaz Lanier,SG,0,1,0,0,0,1,0
Caris LeVert,SG,0,1,0,0,0,1,0
Paul Reed,SF,0,0,1,0,0,1,0
Duncan Robinson,SF,0,0,1,0,0,1,0
Marcus Sasser,SG,0,1,0,0,0,1,0
Tolu Smith,SF,0,0,1,0,0,1,0
Isaiah Stewart,SF,0,0,1,0,0,1,0
Ausar Thompson,SG,0,1,0,0,0,1,0
Jimmy Butler III,SF,0,0,1,0,0,1,0
Stephen Curry,SG,0,1,0,0,0,1,0
Draymond Green,SF,0,0,1,0,0,1,0
Buddy Hield,SG,0,1,0,0,0,1,0
Al Horford,C,0,0,0,0,1,0,1
Trayce Jackson-Davis,SF,0,0,1,0,0,1,0
Jonathan Kuminga,SF,0,0,1,0,0,1,0
De'Anthony Melton,SG,0,1,0,0,0,1,0
Moses Moody,SG,0,1,0,0,0,1,0
Gary Payton II,SG,0,1,0,0,0,1,0
Brandin Podziemski,SG,0,1,0,0,0,1,0
Quinten Post,C,0,0,0,0,1,0,1
Will Richard,SG,0,1,0,0,0,1,0
Jackson Rowe,SF,0,0,1,0,0,1,0
Gui Santos,SF,0,0,1,0,0,1,0
Pat Spencer,SG,0,1,0,0,0,1,0
Alex Toohey,SF,0,0,1,0,0,1,0
Steven Adams,C,0,0,0,0,1,0,1
Clint Capela,C,0,0,0,0,1,0,1
Isaiah Crawford,SF,0,0,1,0,0,1,0
JD Davison,SG,0,1,0,0,0,1,0
Kevin Durant,SF,0,0,1,0,0,1,0
Tari Eason,SF,0,0,1,0,0,1,0
Dorian Finney-Smith,SF,0,0,1,0,0,1,0
Jeff Green,SF,0,0,1,0,0,1,0
Kevon Harris,SG,0,1,0,0,0,1,0
Aaron Holiday,SG,0,1,0,0,0,1,0
Josh Okogie,SG,0,1,0,0,0,1,0
Alperen Sengun,C,0,0,0,0,1,0,1
Reed Sheppard,SG,0,1,0,0,0,1,0
