PLAYER,MARKET,LINE,GAME,HOME_TEAM,AWAY_TEAM
Cade Cunningham,AST,10.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Cade Cunningham,AST,10.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Carlton Carrington,AST,4.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Carlton Carrington,AST,4.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Alex Sarr,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Alex Sarr,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
C.J. McCollum,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
C.J. McCollum,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Kyshawn George,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Kyshawn George,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ausar Thompson,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ausar Thompson,AST,3.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ron Holland,AST,2.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ron Holland,AST,2.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Jalen Duren,AST,2.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Jalen Duren,AST,2.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Duncan Robinson,AST,1.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Duncan Robinson,AST,1.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Cade Cunningham,PTS,27.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Cade Cunningham,PTS,27.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Jalen Duren,PTS,20.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Jalen Duren,PTS,20.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
C.J. McCollum,PTS,16.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
C.J. McCollum,PTS,16.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Alex Sarr,PTS,16.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Alex Sarr,PTS,16.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ausar Thompson,PTS,14.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ausar Thompson,PTS,14.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ron Holland,PTS,14.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Ron Holland,PTS,14.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Kyshawn George,PTS,12.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Kyshawn George,PTS,12.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
Tre Johnson,PTS,12.5,Washington Wizards @ Detroit Pistons,Detroit Pistons,Washington Wizards
