PLAYER,TEAM,GAME_DATE,MARKET,LINE,ACTUAL,DidHitOver,PTS,FG3M,REB,AST,STL,MIN,TEAM_SIDE
Devin Booker,PHX,2025-11-06,AST,7.5,7.0,0,24.0,3.0,6.0,7.0,3.0,37.0,
Chris Paul,LAC,2025-11-06,AST,6.5,2.0,0,2.0,0.0,2.0,2.0,1.0,10.0,
Collin Gillespie,PHX,2025-11-06,AST,4.5,7.0,1,1.0,0.0,5.0,7.0,1.0,25.0,
Grayson Allen,PHX,2025-11-06,AST,3.5,4.0,1,18.0,4.0,3.0,4.0,3.0,36.0,
Bogdan Bogdanovic,LAC,2025-11-06,AST,3.5,5.0,1,12.0,2.0,4.0,5.0,0.0,28.0,
Kris Dunn,LAC,2025-11-06,AST,3.5,6.0,1,9.0,1.0,2.0,6.0,1.0,24.0,
Bradley Beal,LAC,2025-11-06,AST,3.5,1.0,0,5.0,1.0,1.0,1.0,0.0,20.0,
Ivica Zubac,LAC,2025-11-06,AST,2.5,2.0,0,23.0,0.0,11.0,2.0,2.0,27.0,
Royce O'Neale,PHX,2025-11-06,AST,2.5,2.0,0,17.0,5.0,4.0,2.0,0.0,28.0,
Jalen Green,PHX,2025-11-06,AST,2.5,3.0,1,29.0,6.0,3.0,3.0,2.0,23.0,
Nicolas Batum,LAC,2025-11-06,AST,1.5,1.0,0,0.0,0.0,2.0,1.0,0.0,18.0,
Mark Williams,PHX,2025-11-06,AST,1.5,0.0,0,13.0,0.0,10.0,0.0,2.0,28.0,
John Collins,LAC,2025-11-06,AST,1.5,1.0,0,13.0,2.0,4.0,1.0,1.0,23.0,
Ryan Dunn,PHX,2025-11-06,AST,1.5,3.0,1,10.0,1.0,5.0,3.0,1.0,25.0,
Devin Booker,PHX,2025-11-06,PTS,28.5,24.0,0,24.0,3.0,6.0,7.0,3.0,37.0,
Ivica Zubac,LAC,2025-11-06,PTS,18.5,23.0,1,23.0,0.0,11.0,2.0,2.0,27.0,
John Collins,LAC,2025-11-06,PTS,17.5,13.0,0,13.0,2.0,4.0,1.0,1.0,23.0,
Bradley Beal,LAC,2025-11-06,PTS,14.5,5.0,0,5.0,1.0,1.0,1.0,0.0,20.0,
Grayson Allen,PHX,2025-11-06,PTS,14.5,18.0,1,18.0,4.0,3.0,4.0,3.0,36.0,
Jalen Green,PHX,2025-11-06,PTS,14.5,29.0,1,29.0,6.0,3.0,3.0,2.0,23.0,
Mark Williams,PHX,2025-11-06,PTS,12.5,13.0,1,13.0,0.0,10.0,0.0,2.0,28.0,
Bogdan Bogdanovic,LAC,2025-11-06,PTS,11.5,12.0,1,12.0,2.0,4.0,5.0,0.0,28.0,
Royce O'Neale,PHX,2025-11-06,PTS,10.5,17.0,1,17.0,5.0,4.0,2.0,0.0,28.0,
Collin Gillespie,PHX,2025-11-06,PTS,9.5,1.0,0,1.0,0.0,5.0,7.0,1.0,25.0,
Ryan Dunn,PHX,2025-11-06,PTS,9.5,10.0,1,10.0,1.0,5.0,3.0,1.0,25.0,
Kris Dunn,LAC,2025-11-06,PTS,9.5,9.0,0,9.0,1.0,2.0,6.0,1.0,24.0,
Chris Paul,LAC,2025-11-06,PTS,7.5,2.0,0,2.0,0.0,2.0,2.0,1.0,10.0,
Brook Lopez,LAC,2025-11-06,PTS,7.5,6.0,0,6.0,0.0,3.0,0.0,1.0,18.0,
Nicolas Batum,LAC,2025-11-06,PTS,5.5,0.0,0,0.0,0.0,2.0,1.0,0.0,18.0,
Ivica Zubac,LAC,2025-11-06,REB,11.5,11.0,0,23.0,0.0,11.0,2.0,2.0,27.0,
Mark Williams,PHX,2025-11-06,REB,9.5,10.0,1,13.0,0.0,10.0,0.0,2.0,28.0,
John Collins,LAC,2025-11-06,REB,6.5,4.0,0,13.0,2.0,4.0,1.0,1.0,23.0,
Ryan Dunn,PHX,2025-11-06,REB,5.5,5.0,0,10.0,1.0,5.0,3.0,1.0,25.0,
Royce O'Neale,PHX,2025-11-06,REB,4.5,4.0,0,17.0,5.0,4.0,2.0,0.0,28.0,
Devin Booker,PHX,2025-11-06,REB,3.5,6.0,1,24.0,3.0,6.0,7.0,3.0,37.0,
Nicolas Batum,LAC,2025-11-06,REB,3.5,2.0,0,0.0,0.0,2.0,1.0,0.0,18.0,
Kris Dunn,LAC,2025-11-06,REB,3.5,2.0,0,9.0,1.0,2.0,6.0,1.0,24.0,
Grayson Allen,PHX,2025-11-06,REB,3.5,3.0,0,18.0,4.0,3.0,4.0,3.0,36.0,
Collin Gillespie,PHX,2025-11-06,REB,3.5,5.0,1,1.0,0.0,5.0,7.0,1.0,25.0,
Jalen Green,PHX,2025-11-06,REB,3.5,3.0,0,29.0,6.0,3.0,3.0,2.0,23.0,
Brook Lopez,LAC,2025-11-06,REB,2.5,3.0,1,6.0,0.0,3.0,0.0,1.0,18.0,
Bogdan Bogdanovic,LAC,2025-11-06,REB,2.5,4.0,1,12.0,2.0,4.0,5.0,0.0,28.0,
Chris Paul,LAC,2025-11-06,REB,2.5,2.0,0,2.0,0.0,2.0,2.0,1.0,10.0,
Bradley Beal,LAC,2025-11-06,REB,2.5,1.0,0,5.0,1.0,1.0,1.0,0.0,20.0,
Kris Dunn,LAC,2025-11-06,STL,1.5,1.0,0,9.0,1.0,2.0,6.0,1.0,24.0,
Devin Booker,PHX,2025-11-06,STL,0.5,3.0,1,24.0,3.0,6.0,7.0,3.0,37.0,
Jalen Green,PHX,2025-11-06,STL,0.5,2.0,1,29.0,6.0,3.0,3.0,2.0,23.0,
Ivica Zubac,LAC,2025-11-06,STL,0.5,2.0,1,23.0,0.0,11.0,2.0,2.0,27.0,
Grayson Allen,PHX,2025-11-06,3PM,2.5,4.0,1,18.0,4.0,3.0,4.0,3.0,36.0,
Royce O'Neale,PHX,2025-11-06,3PM,2.5,5.0,1,17.0,5.0,4.0,2.0,0.0,28.0,
Devin Booker,PHX,2025-11-06,3PM,2.5,3.0,1,24.0,3.0,6.0,7.0,3.0,37.0,
Collin Gillespie,PHX,2025-11-06,3PM,2.5,0.0,0,1.0,0.0,5.0,7.0,1.0,25.0,
Jalen Green,PHX,2025-11-06,3PM,1.5,6.0,1,29.0,6.0,3.0,3.0,2.0,23.0,
Bogdan Bogdanovic,LAC,2025-11-06,3PM,1.5,2.0,1,12.0,2.0,4.0,5.0,0.0,28.0,
Nicolas Batum,LAC,2025-11-06,3PM,1.5,0.0,0,0.0,0.0,2.0,1.0,0.0,18.0,
Bradley Beal,LAC,2025-11-06,3PM,1.5,1.0,0,5.0,1.0,1.0,1.0,0.0,20.0,
Brook Lopez,LAC,2025-11-06,3PM,1.5,0.0,0,6.0,0.0,3.0,0.0,1.0,18.0,
Chris Paul,LAC,2025-11-06,3PM,1.5,0.0,0,2.0,0.0,2.0,2.0,1.0,10.0,
John Collins,LAC,2025-11-06,3PM,1.5,2.0,1,13.0,2.0,4.0,1.0,1.0,23.0,
Ryan Dunn,PHX,2025-11-06,3PM,1.5,1.0,0,10.0,1.0,5.0,3.0,1.0,25.0,
Kris Dunn,LAC,2025-11-06,3PM,1.5,1.0,0,9.0,1.0,2.0,6.0,1.0,24.0,
Donovan Mitchell,CLE,2025-11-08,AST,5.5,6.0,1,29.0,5.0,6.0,6.0,1.0,35.0,
Evan Mobley,CLE,2025-11-08,AST,3.5,5.0,1,24.0,1.0,8.0,5.0,0.0,34.0,
Kyshawn George,WSH,2025-11-08,AST,3.5,3.0,0,10.0,2.0,2.0,3.0,1.0,29.0,
Alex Sarr,WSH,2025-11-08,AST,3.5,5.0,1,17.0,0.0,6.0,5.0,2.0,31.0,
Jarrett Allen,CLE,2025-11-08,AST,1.5,2.0,1,11.0,0.0,3.0,2.0,1.0,25.0,
Donovan Mitchell,CLE,2025-11-08,PTS,26.5,29.0,1,29.0,5.0,6.0,6.0,1.0,35.0,
Evan Mobley,CLE,2025-11-08,PTS,19.5,24.0,1,24.0,1.0,8.0,5.0,0.0,34.0,
Alex Sarr,WSH,2025-11-08,PTS,16.5,17.0,1,17.0,0.0,6.0,5.0,2.0,31.0,
De'Andre Hunter,CLE,2025-11-08,PTS,16.5,29.0,1,29.0,4.0,4.0,2.0,0.0,30.0,
Jarrett Allen,CLE,2025-11-08,PTS,13.5,11.0,0,11.0,0.0,3.0,2.0,1.0,25.0,
Kyshawn George,WSH,2025-11-08,PTS,13.5,10.0,0,10.0,2.0,2.0,3.0,1.0,29.0,
Tre Johnson,WSH,2025-11-08,PTS,12.5,9.0,0,9.0,1.0,9.0,0.0,1.0,26.0,
Sam Merrill,CLE,2025-11-08,PTS,9.5,8.0,0,8.0,2.0,2.0,8.0,0.0,28.0,
Corey Kispert,WSH,2025-11-08,PTS,8.5,4.0,0,4.0,1.0,1.0,2.0,0.0,24.0,
Jaylon Tyson,CLE,2025-11-08,PTS,8.5,17.0,1,17.0,3.0,7.0,3.0,2.0,31.0,
