PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Eric Gordon,PHI,Philadelphia 76ers,2025-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myron Gardner,MIA,Miami Heat,2025-10-28,3.0,3.0,100.0,100.0,150.0,150.0,150.0,150.0
Jahmir Young,MIA,Miami Heat,2025-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Jordan,NO,New Orleans Pelicans,2025-10-29,2.0,2.0,0.0,0.0,100.0,100.0,100.0,100.0
Matisse Thybulle,POR,Portland Trail Blazers,2025-10-29,3.0,3.0,100.0,100.0,150.0,150.0,150.0,150.0
Isaac Jones,SAC,Sacramento Kings,2025-10-29,1.0,1.0,0.0,0.0,0.0,0.0,56.81818181818182,56.81818181818182
Anthony Davis,DAL,Dallas Mavericks,2025-10-29,4.0,4.0,0.0,0.0,50.0,50.0,50.0,50.0
Yang Hansen,POR,Portland Trail Blazers,2025-10-29,2.0,2.0,0.0,0.0,100.0,100.0,100.0,100.0
Trae Young,ATL,Atlanta Hawks,2025-10-29,6.0,6.0,0.0,0.0,50.0,50.0,56.390977443609025,56.390977443609025
Orlando Robinson,ORL,Orlando Magic,2025-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walker Kessler,UTAH,Utah Jazz,2025-10-31,11.0,11.0,37.5,37.5,55.41666666666667,55.41666666666667,53.78378378378378,53.78378378378378
Blake Wesley,POR,Portland Trail Blazers,2025-10-31,7.5,7.5,20.0,20.0,55.714285714285715,55.714285714285715,56.972789115646265,56.972789115646265
Rayan Rupert,POR,Portland Trail Blazers,2025-10-31,2.5,2.5,25.0,25.0,54.166666666666664,54.166666666666664,54.166666666666664,54.166666666666664
Ron Harper Jr.,BOS,Boston Celtics,2025-11-01,2.0,2.0,0.0,0.0,20.0,20.0,20.0,20.0
Amari Williams,BOS,Boston Celtics,2025-11-01,2.0,2.0,0.0,0.0,50.0,50.0,50.0,50.0
Dylan Cardwell,SAC,Sacramento Kings,2025-11-01,2.0,2.0,0.0,0.0,100.0,100.0,100.0,100.0
LaMelo Ball,CHA,Charlotte Hornets,2025-11-01,18.333333333333332,18.333333333333332,23.14814814814815,23.14814814814815,43.76218323586744,43.76218323586744,46.50447412632823,46.50447412632823
Tobias Harris,DET,Detroit Pistons,2025-11-01,17.0,17.0,22.5,22.5,47.27564102564103,47.27564102564103,56.13090306545153,56.13090306545153
Jevon Carter,CHI,Chicago Bulls,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yves Missi,NO,New Orleans Pelicans,2025-11-02,7.666666666666667,7.666666666666667,0.0,0.0,69.44444444444444,69.44444444444444,65.57983288166216,65.57983288166216
Riley Minix,SA,San Antonio Spurs,2025-11-02,9.0,9.0,33.33333333333333,33.33333333333333,75.0,75.0,75.0,75.0
Mason Plumlee,CHA,Charlotte Hornets,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tidjane Salaun,CHA,Charlotte Hornets,2025-11-02,0.6666666666666666,1.25,0.0,0.0,6.666666666666667,5.0,6.666666666666667,12.8781512605042
Kyle Lowry,PHI,Philadelphia 76ers,2025-11-02,3.0,3.0,100.0,100.0,150.0,150.0,150.0,150.0
Koby Brea,PHX,Phoenix Suns,2025-11-02,4.0,4.0,0.0,0.0,50.0,50.0,69.44444444444444,69.44444444444444
Zion Williamson,NO,New Orleans Pelicans,2025-11-02,20.0,20.0,0.0,0.0,50.98039215686274,50.98039215686274,57.346700489539046,57.346700489539046
Dylan Harper,SA,San Antonio Spurs,2025-11-02,12.5,12.5,20.0,20.0,61.25,61.25,63.65510731319554,63.65510731319554
Bismack Biyombo,SA,San Antonio Spurs,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce McGowens,NO,New Orleans Pelicans,2025-11-02,2.0,2.0,0.0,0.0,0.0,0.0,113.63636363636364,113.63636363636364
Austin Reaves,LAL,Los Angeles Lakers,2025-11-02,25.0,25.0,26.948051948051944,26.948051948051944,45.535714285714285,45.535714285714285,54.62697684681814,54.62697684681814
Harrison Ingram,SA,San Antonio Spurs,2025-11-02,2.0,2.0,0.0,0.0,50.0,50.0,50.0,50.0
David Jones Garcia,SA,San Antonio Spurs,2025-11-02,2.0,2.0,0.0,0.0,33.33333333333333,33.33333333333333,25.773195876288664,25.773195876288664
Caleb Love,POR,Portland Trail Blazers,2025-11-03,2.5,2.5,16.666666666666664,16.666666666666664,31.25,31.25,31.25,31.25
Kawhi Leonard,LAC,LA Clippers,2025-11-03,26.333333333333332,26.333333333333332,37.5,37.5,60.291199813258636,60.291199813258636,65.47160840725262,65.47160840725262
Mac McClung,IND,Indiana Pacers,2025-11-03,6.333333333333333,6.333333333333333,16.666666666666664,16.666666666666664,31.944444444444443,31.944444444444443,34.53708602982078,34.53708602982078
Nolan Traore,BKN,Brooklyn Nets,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domantas Sabonis,SAC,Sacramento Kings,2025-11-03,18.333333333333332,16.25,8.333333333333334,6.25,57.417582417582416,51.396520146520146,61.57383235088623,54.513707596498
Danny Wolf,BKN,Brooklyn Nets,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quenton Jackson,IND,Indiana Pacers,2025-11-03,15.666666666666666,13.75,41.666666666666664,31.25,53.125,54.129464285714285,64.0315502486465,62.30937697219916
Chris Boucher,BOS,Boston Celtics,2025-11-03,4.5,4.5,25.0,25.0,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336
Ben Saraf,BKN,Brooklyn Nets,2025-11-03,2.5,2.5,50.0,50.0,25.0,25.0,32.21649484536083,32.21649484536083
Johnny Furphy,IND,Indiana Pacers,2025-11-03,4.0,4.0,75.0,75.0,68.75,68.75,68.75,68.75
Xavier Tillman,BOS,Boston Celtics,2025-11-03,1.6666666666666667,1.25,11.111111111111109,8.333333333333332,20.833333333333332,15.625,20.833333333333332,15.625
Terrence Shannon Jr.,MIN,Minnesota Timberwolves,2025-11-03,1.6666666666666667,1.6666666666666667,0.0,0.0,11.111111111111109,11.111111111111109,30.617094392045043,30.617094392045043
Andre Jackson Jr.,MIL,Milwaukee Bucks,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luguentz Dort,OKC,Oklahoma City Thunder,2025-11-04,8.666666666666666,8.666666666666666,23.333333333333332,23.333333333333332,54.166666666666664,54.166666666666664,57.29477725638369,57.29477725638369
Gary Harris,MIL,Milwaukee Bucks,2025-11-04,1.0,1.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
Mark Sears,MIL,Milwaukee Bucks,2025-11-04,8.0,8.0,50.0,50.0,50.0,50.0,70.92198581560282,70.92198581560282
Jared McCain,PHI,Philadelphia 76ers,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jase Richardson,ORL,Orlando Magic,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Penda,ORL,Orlando Magic,2025-11-04,3.3333333333333335,3.5,33.333333333333336,25.0,52.77777777777777,56.25,59.54324169530356,61.324097938144334
Jett Howard,ORL,Orlando Magic,2025-11-04,2.0,1.5,27.777777777777775,20.833333333333332,41.666666666666664,31.25,41.666666666666664,31.25
Luke Kennard,ATL,Atlanta Hawks,2025-11-04,9.0,11.0,25.0,38.75,58.96825396825397,66.10119047619048,66.03436735336327,71.298316498629
Collin Sexton,CHA,Charlotte Hornets,2025-11-04,12.0,14.6,19.444444444444443,46.666666666666664,39.82683982683983,57.01298701298701,48.85111577894628,62.523021120784065
Stephen Curry,GS,Golden State Warriors,2025-11-04,26.333333333333332,24.5,35.55555555555556,32.91666666666667,48.70327993897788,49.86079328756674,54.373772402191584,55.333025380075064
Isaiah Livers,PHX,Phoenix Suns,2025-11-04,0.6666666666666666,0.6666666666666666,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
Jordan Poole,NO,New Orleans Pelicans,2025-11-04,17.333333333333332,15.25,30.911680911680914,26.755189255189254,45.20202020202021,39.583333333333336,54.14345337603436,49.42420445208847
Jonathan Mogbo,TOR,Toronto Raptors,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taurean Prince,MIL,Milwaukee Bucks,2025-11-04,3.0,5.4,33.333333333333336,38.33333333333333,41.666666666666664,56.66666666666667,41.666666666666664,58.661202185792355
Bilal Coulibaly,WSH,Washington Wizards,2025-11-05,8.666666666666666,10.5,20.0,22.142857142857142,29.6969696969697,36.85606060606061,36.312328920828016,42.76219700118001
Branden Carlson,OKC,Oklahoma City Thunder,2025-11-05,4.333333333333333,3.6,8.333333333333334,25.0,39.583333333333336,73.75,39.583333333333336,73.75
Taelon Peter,IND,Indiana Pacers,2025-11-05,2.0,2.25,22.222222222222218,16.666666666666664,29.166666666666668,21.875,29.166666666666668,38.03879310344827
Aaron Wiggins,OKC,Oklahoma City Thunder,2025-11-05,18.0,16.0,56.666666666666664,42.0,66.41148325358851,57.30143540669856,65.56857137619387,57.610735302205356
Aaron Holiday,HOU,Houston Rockets,2025-11-05,2.6666666666666665,2.6666666666666665,16.666666666666668,16.666666666666668,27.777777777777782,27.777777777777782,46.80026389576117,46.80026389576117
Baylor Scheierman,BOS,Boston Celtics,2025-11-05,5.666666666666667,3.4,26.666666666666668,16.0,38.095238095238095,22.857142857142854,38.08243727598566,22.849462365591396
Cam Thomas,BKN,Brooklyn Nets,2025-11-05,18.0,18.25,27.38095238095238,27.678571428571427,33.88157894736842,34.161184210526315,37.7934045063982,38.83533606531102
