Player,Team,Pos,Injury,Status
Bam Adebayo,MIA,C,Toe,Out
Nickeil Alexander-Walker,ATL,G,Back,Questionable
Kyle Anderson,UTA,F,Back,Questionable
Giannis Antetokounmpo,MIL,F,Knee,Probable
LaMelo Ball,CHA,G,Ankle,Out
Dominick Barlow,PHI,C,Elbow,Doubtful
Bradley Beal,LAC,G,Hip,Questionable
Miles Bridges,CHA,F,Back,Probable
Johni Broome,PHI,C,Ankle,Questionable
Brandon Clarke,MEM,C,Knee,Out
Zach Collins,CHI,C,Wrist,Out
Bilal Coulibaly,WAS,F,Calf,Out
Anthony Davis,DAL,C,Calf,Questionable
Luguentz Dort,OKC,F,Shoulder,Questionable
Nikola Durisic,ATL,F,Elbow,Out
Zach Edey,MEM,C,Ankle,Doubtful
Joel Embiid,PHI,C,Knee,Questionable
Dante Exum,DAL,G,Knee,Out
Dorian Finney-Smith,HOU,F,Ankle,Out
Johnny Furphy,IND,F,Ankle,Out
Daniel Gafford,DAL,C,Ankle,Questionable
Paul George,PHI,F,Knee,Doubtful
Josh Giddey,CHI,G,Ankle,Questionable
Aaron Gordon,DEN,F,Hamstring,Probable
Josh Green,CHA,F,Shoulder,Out
Jalen Green,PHX,G,Hamstring,Out
Tyrese Haliburton,IND,G,Achilles,Out For Season
Dylan Harper,SAS,G,Calf,Out
Tobias Harris,DET,F,Ankle,Out
Sam Hauser,BOS,F,Wrist,Probable
Scoot Henderson,POR,G,Hamstring,Out
Taylor Hendricks,UTA,F,Hamstring,Questionable
Tyler Herro,MIA,G,Ankle,Out
Haywood Highsmith,BKN,F,Knee,Out
Al Horford,GSW,C,Toe,Questionable
Kyrie Irving,DAL,G,Knee,Out
Jaden Ivey,DET,G,Knee,Out
Quenton Jackson,IND,G,Hamstring,Out
LeBron James,LAL,F,Back,Out
Ty Jerome,MEM,G,Calf,Out
Jalen Johnson,ATL,F,Quadriceps,Questionable
Kam Jones,IND,G,Back,Out
Walker Kessler,UTA,C,Shoulder,Out For Season
Luke Kornet,SAS,C,Ankle,Questionable
Kawhi Leonard,LAC,F,Ankle,Out
Caris LeVert,DET,G,Knee,Questionable
Damian Lillard,POR,G,Achilles,Out For Season
Dereck Lively,DAL,C,Knee,Doubtful
Bennedict Mathurin,IND,F,Toe,Out
T.J. McConnell,IND,G,Hamstring,Doubtful
Kevin McCullar,NYK,F,Back,Questionable
De'Anthony Melton,GSW,G,Knee,Out
Brandon Miller,CHA,F,Shoulder,Out
Jordan Miller,LAC,G,Hamstring,Questionable
Dejounte Murray,NOP,G,Achilles,Out
Jamal Murray,DEN,G,Calf,Probable
Keegan Murray,SAC,F,Thumb,Out
Larry Nance,CLE,C,Knee,Questionable
Aaron Nesmith,IND,F,Forearm,Questionable
Georges Niang,UTA,F,Foot,Out
Royce O'Neale,PHX,F,Illness,Probable
Drew Peterson,CHA,F,Calf,Questionable
Scotty Pippen,MEM,G,Toe,Out
Jakob Poeltl,TOR,C,Back,Questionable
Jordan Poole,NOP,G,Quadriceps,Out
Kevin Porter,MIL,G,Knee,Out
Taurean Prince,MIL,F,Neck,Out
Austin Reaves,LAL,G,Groin,Probable
Mitchell Robinson,NYK,C,Ankle,Questionable
Terry Rozier,MIA,G,Not Injury Related,Out
Marcus Sasser,DET,G,Hip,Out
Terrence Shannon,MIN,F,Foot,Out
Day'Ron Sharpe,BKN,C,Hamstring,Doubtful
Pascal Siakam,IND,F,Rest,Probable
Javon Small,MEM,G,Toe,Questionable
Dru Smith,MIA,G,Knee,Probable
Thomas Sorber,OKC,C,Knee,Out For Season
Isaiah Stewart,DET,F,Ankle,Out
Max Strus,CLE,F,Foot,Out
Jalen Suggs,ORL,G,Knee,Out
Jayson Tatum,BOS,F,Achilles,Out
Adou Thiero,LAL,F,Knee,Out
Cam Thomas,BKN,G,Hamstring,Out
Ausar Thompson,DET,F,Ankle,Questionable
Matisse Thybulle,POR,F,Thumb,Out
Alex Toohey,GSW,F,Knee,Questionable
Nikola Topic,OKC,G,Groin,Out
Obi Toppin,IND,F,Foot,Out
Fred VanVleet,HOU,G,Knee,Out
Gabe Vincent,LAL,G,Ankle,Out
Moritz Wagner,ORL,C,Knee,Out
Blake Wesley,POR,G,Foot,Out
Coby White,CHI,G,Calf,Out
Aaron Wiggins,OKC,F,Thigh,Questionable
Jalen Williams,OKC,F,Wrist,Doubtful
Kenrich Williams,OKC,F,Knee,Doubtful
Patrick Williams,CHI,F,Finger,Probable
Grant Williams,CHA,F,Knee,Out
Zion Williamson,NOP,F,Hamstring,Out
Trae Young,ATL,G,Knee,Out
