PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,FG3M,REB,AST,MIN,USAGE_LITE,THREES_RATE,IS_HOME,DEF_RATING_Z,OPP_DEF_RATING_Z,OPP_OPP_PTS_Z,OPP_PTS_Z,DAYS_REST,IS_B2B_NUM,TRAVEL_MILES,TRAVEL_FATIGUE,INJ_Status,INJ_Injury,INJURY_CATEGORY,INJURY_FLAG,IS_OUT,IS_LIMITED,prob_hit30,prob_hit30_pct,prob_hit4threes,prob_hit4threes_pct,PREDICTION_MODE
Luka Dončić,LAL,Los Angeles Lakers,Home,41.3,3.5,11.5,8.3,38.3,159.53002610966055,0.08474576271186442,1,0.2688313816567535,-0.6129845399508086,-1.6590809895339047,-0.005448281266445,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.7651883091290803,76.5%,0.4278952349676967,42.8%,Heuristic
Tyrese Maxey,PHI,Philadelphia 76ers,Away,34.4,4.6,4.9,8.4,42.0,113.57142857142857,0.13372093023255813,0,-0.227190074247501,0.526027692125627,-0.5465736924869714,0.1516526445717729,1,1,358.6,0.859,Active,,Active,0.0,0,0,0.6052199901992242,60.5%,0.5092403542084872,50.9%,Heuristic
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,Away,33.1,1.9,5.0,6.6,35.1,127.35042735042737,0.057401812688821746,0,-0.7599538602187352,-0.7599538602187352,0.1795816980541219,-1.422847745495697,1,1,1484.6,1.985,Active,,Active,0.0,0,0,0.5799325576747266,58.0%,0.21694393713990945,21.7%,Heuristic
Lauri Markkanen,UTA,Utah Jazz,Away,31.1,3.6,7.0,2.3,36.7,110.08174386920979,0.1157556270096463,0,0.526027692125627,-0.7599538602187352,-0.8258642273104697,0.3750850724305705,2,0,1488.3,1.488,Active,,Active,0.0,0,0,0.5563960115555875,55.6%,0.43734662785595074,43.7%,Heuristic
Victor Wembanyama,SAS,San Antonio Spurs,Away,26.7,1.0,13.7,3.2,33.9,128.61356932153393,0.03745318352059925,0,-0.6129845399508086,0.2688313816567535,-0.005448281266445,-1.6590809895339047,3,0,1205.7,1.206,Active,,Active,0.0,0,0,0.5250284994230521,52.5%,0.1057885413012778,10.6%,Heuristic
Jalen Brunson,NYK,New York Knicks,Home,29.0,2.6,3.4,5.6,34.1,111.43695014662755,0.0896551724137931,1,1.2241319633982803,-1.0906348308215708,-0.2114250506987751,-0.6024317994516722,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.5109236234470227,51.1%,0.33508196272456225,33.5%,Heuristic
Donovan Mitchell,CLE,Cleveland Cavaliers,Home,29.5,4.0,2.3,4.5,33.6,108.03571428571428,0.13559322033898305,1,0.526027692125627,-0.227190074247501,0.1516526445717729,-0.5465736924869714,3,0,0.0,0.0,Active,,Active,0.0,0,0,0.5065990568231233,50.7%,0.4791260795398033,47.9%,Heuristic
Pascal Siakam,IND,Indiana Pacers,Home,26.0,2.0,8.4,5.3,35.6,111.51685393258425,0.07692307692307693,1,2.271288370307261,0.3239448767572256,2.134615441818607,0.7660918211834675,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.49352328982982174,49.4%,0.22908086526055652,22.9%,Heuristic
Nikola Jokić,DEN,Denver Nuggets,Home,22.7,1.5,13.2,11.3,34.9,135.243553008596,0.06607929515418502,1,-0.0434784239125921,0.4709141970251549,0.0678654841247231,-0.5512285347340314,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.47892766119393704,47.9%,0.16653110983208036,16.7%,Heuristic
Julius Randle,MIN,Minnesota Timberwolves,Away,26.0,2.3,7.1,5.9,34.5,113.04347826086956,0.08846153846153845,0,-1.0906348308215708,1.2241319633982803,-0.6024317994516722,-0.2114250506987751,2,0,1016.5,1.016,Active,,Active,0.0,0,0,0.4768602479686982,47.7%,0.23707311117145324,23.7%,Heuristic
