PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,FG3M,REB,AST,MIN,USAGE_LITE,THREES_RATE,IS_HOME,DEF_RATING_Z,OPP_DEF_RATING_Z,OPP_OPP_PTS_Z,OPP_PTS_Z,DAYS_REST,IS_B2B_NUM,TRAVEL_MILES,TRAVEL_FATIGUE,INJ_Status,INJ_Injury,INJURY_CATEGORY,INJURY_FLAG,IS_OUT,IS_LIMITED,prob_hit30,prob_hit30_pct,prob_hit4threes,prob_hit4threes_pct,PREDICTION_MODE
Isaiah Joe,OKC,Oklahoma City Thunder,Away,18.3,4.7,4.7,0.7,24.2,97.93388429752066,0.2568306010928962,0,-0.7599538602187352,-0.7599538602187352,0.1795816980541219,-1.422847745495697,1,1,1484.6,1.985,Active,,Active,0.0,0,0,0.32280755767472663,32.3%,0.5535820432267798,55.4%,Heuristic
Tyrese Maxey,PHI,Philadelphia 76ers,Away,34.4,4.6,4.9,8.4,42.0,113.57142857142857,0.13372093023255813,0,-0.227190074247501,0.526027692125627,-0.5465736924869714,0.1516526445717729,1,1,358.6,0.859,Active,,Active,0.0,0,0,0.6052199901992242,60.5%,0.5092403542084872,50.9%,Heuristic
Donovan Mitchell,CLE,Cleveland Cavaliers,Home,29.5,4.0,2.3,4.5,33.6,108.03571428571428,0.13559322033898305,1,0.526027692125627,-0.227190074247501,0.1516526445717729,-0.5465736924869714,3,0,0.0,0.0,Active,,Active,0.0,0,0,0.5065990568231233,50.7%,0.4791260795398033,47.9%,Heuristic
Lauri Markkanen,UTA,Utah Jazz,Away,31.1,3.6,7.0,2.3,36.7,110.08174386920979,0.1157556270096463,0,0.526027692125627,-0.7599538602187352,-0.8258642273104697,0.3750850724305705,2,0,1488.3,1.488,Active,,Active,0.0,0,0,0.5563960115555875,55.6%,0.43734662785595074,43.7%,Heuristic
Luka Dončić,LAL,Los Angeles Lakers,Home,41.3,3.5,11.5,8.3,38.3,159.53002610966055,0.08474576271186442,1,0.2688313816567535,-0.6129845399508086,-1.6590809895339047,-0.005448281266445,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.7651883091290803,76.5%,0.4278952349676967,42.8%,Heuristic
Kyshawn George,WAS,Washington Wizards,Away,17.9,3.0,7.4,4.1,31.1,94.5337620578778,0.1675977653631285,0,-0.0618495889460819,-1.3845734713574265,-1.3739719019015848,2.0228992278892086,2,0,393.6,0.394,Active,,Active,0.0,0,0,0.34875409286683157,34.9%,0.39102422505209206,39.1%,Heuristic
OG Anunoby,NYK,New York Knicks,Home,17.1,3.0,5.7,2.6,34.3,74.0524781341108,0.17543859649122806,1,1.2241319633982803,-1.0906348308215708,-0.2114250506987751,-0.6024317994516722,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.3244236234470227,32.4%,0.3860378005951006,38.6%,Heuristic
Donte DiVincenzo,MIN,Minnesota Timberwolves,Away,15.1,3.4,3.6,4.0,30.2,75.16556291390728,0.2251655629139073,0,-1.0906348308215708,1.2241319633982803,-0.6024317994516722,-0.2114250506987751,2,0,1016.5,1.016,Active,,Active,0.0,0,0,0.27311024796869826,27.3%,0.372241645727405,37.2%,Heuristic
Sam Hauser,BOS,Boston Celtics,Home,9.6,3.0,3.1,1.3,23.7,59.07172995780591,0.3125,1,-1.3845734713574265,-0.0618495889460819,2.0228992278892086,-1.3739719019015848,2,0,0.0,0.0,Active,,Active,0.0,0,0,0.17524087830778906,17.5%,0.36717123972365195,36.7%,Heuristic
Trey Murphy III,NOP,New Orleans Pelicans,Away,15.4,2.9,6.0,3.4,35.1,70.65527065527064,0.1883116883116883,0,0.7464816725275182,-0.7599538602187352,-0.2114250506987751,1.4084600512775138,1,1,442.7,0.943,Active,,Active,0.0,0,0,0.2948446465065922,29.5%,0.34536609758771936,34.5%,Heuristic
