PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT
Mikal Bridges,NYK,AST,Assists,3.5,5.3,1.0,5,0.99,0.99,0.99,Active,0,0,99.0%
Jalen Suggs,ORL,AST,Assists,2.5,4.4,1.0,4,0.99,0.99,0.99,Active,0,0,99.0%
Tyrese Maxey,PHI,AST,Assists,6.5,8.3,0.8333333333333334,6,0.9658333333333335,0.9658333333333335,0.9658333333333335,Active,0,0,96.6%
Isaiah Hartenstein,OKC,AST,Assists,2.5,3.4,1.0,6,0.95625,0.95625,0.95625,Active,0,0,95.6%
Terance Mann,BKN,AST,Assists,2.5,3.3,1.0,5,0.9450000000000001,0.9450000000000001,0.9450000000000001,Active,0,0,94.5%
VJ Edgecombe,PHI,AST,Assists,3.5,4.7,0.8333333333333334,6,0.8808333333333334,0.8808333333333334,0.8808333333333334,Active,0,0,88.1%
Alperen Sengun,HOU,AST,Assists,6.5,7.4,0.8,5,0.8462500000000002,0.8462500000000002,0.8462500000000002,Active,0,0,84.6%
Karl-Anthony Towns,NYK,AST,Assists,2.5,3.3,0.8,5,0.8350000000000002,0.8350000000000002,0.8350000000000002,Active,0,0,83.5%
Cade Cunningham,DET,AST,Assists,9.5,9.7,0.8,5,0.7675000000000001,0.7675000000000001,0.7675000000000001,Active,0,0,76.8%
Donte DiVincenzo,MIN,AST,Assists,3.5,3.8,0.8,5,0.76625,0.76625,0.76625,Active,0,0,76.6%
