PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT
Jaylon Tyson,CLE,PTS,Points,8.5,11.3,1.0,6,0.9810000000000001,0.9810000000000001,0.9810000000000001,Active,0,0,98.1%
Sam Merrill,CLE,PTS,Points,8.5,15.0,0.6666666666666666,3,0.8966666666666667,0.8966666666666667,0.8966666666666667,Active,0,0,89.7%
Jerami Grant,POR,PTS,Points,16.5,20.0,0.8,5,0.8875,0.8875,0.8875,Active,0,0,88.8%
Jake LaRavia,LAL,PTS,Points,9.5,12.2,0.8333333333333334,6,0.8848333333333334,0.8848333333333334,0.8848333333333334,Active,0,0,88.5%
De'Andre Hunter,CLE,PTS,Points,15.5,18.4,0.8,5,0.8755,0.8755,0.8755,Active,0,0,87.5%
Tristan da Silva,ORL,PTS,Points,9.5,11.8,0.8333333333333334,6,0.8668333333333336,0.8668333333333336,0.8668333333333336,Active,0,0,86.7%
Keldon Johnson,SAS,PTS,Points,9.5,12.2,0.8,5,0.8654999999999999,0.8654999999999999,0.8654999999999999,Active,0,0,86.5%
Ryan Dunn,PHX,PTS,Points,7.5,9.6,0.8333333333333334,6,0.8578333333333334,0.8578333333333334,0.8578333333333334,Active,0,0,85.8%
Jaden McDaniels,MIN,PTS,Points,14.5,18.6,0.6666666666666666,6,0.8561666666666667,0.8561666666666667,0.8561666666666667,Active,0,0,85.6%
Ryan Rollins,MIL,PTS,Points,13.5,16.9,0.7142857142857143,7,0.850857142857143,0.850857142857143,0.850857142857143,Active,0,0,85.1%
