PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT
Paolo Banchero,ORL,REB,Rebounds,8.5,9.4,1.0,5,0.95625,0.95625,0.95625,Active,0,0,95.6%
Steven Adams,HOU,REB,Rebounds,6.5,9.3,0.75,4,0.9425000000000001,0.9425000000000001,0.9425000000000001,Active,0,0,94.3%
Tyrese Maxey,PHI,REB,Rebounds,3.5,5.0,0.8333333333333334,6,0.9320833333333334,0.9320833333333334,0.9320833333333334,Active,0,0,93.2%
Myles Turner,MIL,REB,Rebounds,5.5,6.7,0.8333333333333334,6,0.8983333333333334,0.8983333333333334,0.8983333333333334,Active,0,0,89.8%
Josh Minott,BOS,REB,Rebounds,5.5,6.7,0.8333333333333334,6,0.8983333333333334,0.8983333333333334,0.8983333333333334,Active,0,0,89.8%
Giannis Antetokounmpo,MIL,REB,Rebounds,9.5,12.9,0.6,5,0.8600000000000001,0.8600000000000001,0.8600000000000001,Active,0,0,86.0%
Karl-Anthony Towns,NYK,REB,Rebounds,10.5,12.8,0.6,5,0.8600000000000001,0.8600000000000001,0.8600000000000001,Active,0,0,86.0%
Amen Thompson,HOU,REB,Rebounds,5.5,6.5,0.8,5,0.8575000000000002,0.8575000000000002,0.8575000000000002,Active,0,0,85.8%
VJ Edgecombe,PHI,REB,Rebounds,4.5,5.8,0.6666666666666666,6,0.8179166666666666,0.8179166666666666,0.8179166666666666,Active,0,0,81.8%
Isaiah Jackson,IND,REB,Rebounds,5.5,5.9,0.8333333333333334,6,0.8083333333333336,0.8083333333333336,0.8083333333333336,Active,0,0,80.8%
