PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT
Nikola Vucevic,,STL,Steals,0.5,0.0,0.3333333333333333,6,0.37583333333333335,0.37583333333333335,0.37583333333333335,,0,0,37.6%
Naji Marshall,DAL,STL,Steals,0.5,0.0,0.3333333333333333,6,0.37583333333333335,0.37583333333333335,0.37583333333333335,Active,0,0,37.6%
P.J. Washington,DAL,STL,Steals,0.5,0.0,0.3333333333333333,6,0.37083333333333335,0.37083333333333335,0.37083333333333335,Active,0,0,37.1%
Julius Randle,MIN,STL,Steals,0.5,0.0,0.3333333333333333,6,0.37083333333333335,0.37083333333333335,0.37083333333333335,Active,0,0,37.1%
Darius Garland,CLE,STL,Steals,0.5,0.0,0.5,2,0.3625,0.3625,0.3625,Active,0,0,36.2%
De'Aaron Fox,SAS,STL,Steals,0.5,0.0,1.0,1,0.3625,0.3625,0.3625,Active,0,0,36.2%
Alex Sarr,WAS,STL,Steals,0.5,0.0,0.2857142857142857,7,0.34964285714285714,0.34964285714285714,0.34964285714285714,Active,0,0,35.0%
Shaedon Sharpe,POR,STL,Steals,0.5,0.0,0.2,5,0.29750000000000004,0.29750000000000004,0.29750000000000004,Active,0,0,29.8%
Jerami Grant,POR,STL,Steals,0.5,0.0,0.2,5,0.29750000000000004,0.29750000000000004,0.29750000000000004,Active,0,0,29.8%
Jaden McDaniels,MIN,STL,Steals,0.5,0.0,0.16666666666666666,6,0.2841666666666667,0.2841666666666667,0.2841666666666667,Active,0,0,28.4%
